Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
5238,2337,341,22,350,115,990,167,200,168,1263,69.68,397.95,1121.6,45.13,Type_10,Area_4,Type_6
5239,2343,351,23,362,133,966,174,195,155,1233,32.3,276.93,819.98,46.6,Type_10,Area_4,Type_6
5240,2355,309,20,365,139,850,163,223,199,1084,52.1,225.69,216.88,59.56,Type_10,Area_4,Type_6
5241,2372,292,11,306,102,806,188,238,189,1024,88.74,445.02,249.38,61.87,Type_6,Area_4,Type_6
5242,2256,16,30,67,3,579,180,165,107,636,55.24,241.17,392.33,53.61,Type_10,Area_4,Type_6
5274,2375,350,11,30,0,1006,200,221,160,860,76.8,408.6,825.72,16.97,Type_16,Area_4,Type_6
5275,2441,101,5,335,95,1231,228,233,139,751,58.3,160.98,651.29,51.05,Type_6,Area_4,Type_6
5276,2435,85,6,361,89,1252,228,230,136,738,43.65,280.84,997.43,24.62,Type_6,Area_4,Type_6
5277,2433,4,8,382,85,1273,210,225,153,711,39.97,185.27,696.8,8.89,Type_6,Area_4,Type_6
5281,2254,307,17,108,47,1535,171,227,196,342,89.29,371.03,542.17,20.82,Type_10,Area_4,Type_6
5282,2235,140,24,67,27,1510,247,225,92,446,59.11,254.73,573.1,27.37,Type_2,Area_4,Type_6
5283,2208,117,23,30,14,1480,252,211,74,511,40.75,433.32,1032.38,43.92,Type_2,Area_4,Type_6
5285,2319,112,23,90,36,1170,252,208,70,1101,57.62,276.54,717.06,58.18,Type_4,Area_4,Type_6
5286,2378,329,15,313,108,828,183,221,177,1022,72.58,277.94,896.23,59.53,Type_6,Area_4,Type_6
5287,2269,5,32,134,41,577,161,160,121,514,89.02,425.61,922.97,56.68,Type_10,Area_4,Type_6
5297,2322,197,21,90,64,1681,209,252,168,934,58.06,388.18,835.45,53.33,Type_2,Area_4,Type_6
5298,2325,194,26,90,66,1652,206,250,164,914,66.35,434.45,444.46,27.63,Type_2,Area_4,Type_6
5299,2372,280,24,192,112,1480,147,235,224,808,55.7,417.33,135.91,50.82,Type_2,Area_4,Type_6
5315,2251,125,19,108,39,1517,248,224,97,417,60.54,332.77,365.42,15.36,Type_10,Area_4,Type_6
5316,2286,287,20,201,121,1374,161,235,212,778,57.17,332.85,970.88,45.91,Type_10,Area_4,Type_6
5317,2335,307,17,182,74,1120,173,228,195,1392,46.72,238.96,641.14,43.09,Type_10,Area_4,Type_6
5318,2381,332,20,351,111,870,170,211,178,1050,87.53,400.17,97.82,17.15,Type_6,Area_4,Type_6
5319,2281,24,34,192,67,564,181,147,82,451,38.57,199.75,746.39,38.02,Type_10,Area_4,Type_6
5329,2379,268,28,170,113,1471,138,238,232,782,56.37,302.65,810.21,42.39,Type_1,Area_4,Type_6
5330,2404,286,10,242,138,1385,193,240,186,738,60.63,426.57,1078.17,56.44,Type_10,Area_4,Type_6
5346,2437,333,17,255,69,1087,179,216,175,830,62.25,185.56,966.0,32.86,Type_10,Area_4,Type_6
5347,2444,330,9,366,172,1230,198,229,170,741,30.85,227.56,945.72,36.09,Type_6,Area_4,Type_6
5349,2240,332,7,30,-6,1448,204,231,167,400,57.0,294.81,899.07,54.99,Type_14,Area_4,Type_6
5351,2316,292,19,295,150,1348,164,233,208,872,73.99,265.27,201.79,12.58,Type_10,Area_4,Type_6
5352,2340,353,9,210,57,1275,204,224,158,1008,89.73,184.76,526.65,24.92,Type_11,Area_4,Type_6
5354,2305,298,25,85,25,1172,142,222,216,1290,62.29,165.61,523.85,22.73,Type_10,Area_4,Type_6
5355,2385,348,22,446,115,955,174,199,160,1140,62.0,281.47,420.14,39.21,Type_10,Area_4,Type_6
5356,2308,11,32,153,38,664,168,157,110,630,54.34,391.99,755.07,53.31,Type_10,Area_4,Type_6
5357,2299,28,35,216,71,577,183,142,72,450,40.15,325.79,491.31,40.14,Type_10,Area_4,Type_6
5379,2244,351,10,30,-6,1415,202,223,159,437,78.6,330.87,1094.99,31.52,Type_14,Area_4,Type_6
5381,2207,12,14,30,0,1405,205,210,140,553,43.46,279.88,756.64,53.99,Type_14,Area_4,Type_6
5382,2226,345,21,95,32,1361,175,203,163,661,60.27,296.54,1106.76,58.85,Type_10,Area_4,Type_6
5383,2273,284,23,212,99,1332,149,233,221,782,45.65,169.35,654.5,62.39,Type_10,Area_4,Type_6
5385,2369,340,24,285,63,1110,163,199,170,1320,68.9,277.9,332.95,37.4,Type_10,Area_4,Type_6
5386,2323,358,31,201,53,677,157,167,136,571,60.67,363.76,1113.91,63.1,Type_10,Area_4,Type_6
5400,2371,224,33,162,105,1426,157,248,209,716,82.02,299.03,634.98,23.22,Type_1,Area_4,Type_6
5413,2392,40,7,0,0,859,221,224,139,1008,74.19,275.98,630.0,51.35,Type_16,Area_4,Type_6
5414,2392,319,14,60,6,886,182,226,183,979,33.1,211.78,887.13,22.76,Type_10,Area_4,Type_6
5415,2442,302,18,228,70,1003,166,229,202,902,32.96,277.1,615.5,36.92,Type_10,Area_4,Type_6
5416,2452,0,8,283,87,1041,209,226,155,888,53.18,349.17,1093.58,23.81,Type_6,Area_4,Type_6
5418,2237,344,23,85,38,1339,169,199,165,658,48.94,250.03,673.16,37.11,Type_10,Area_4,Type_6
5419,2329,49,28,90,51,1282,218,168,66,1142,59.46,155.34,93.56,64.27,Type_10,Area_4,Type_6
5422,2320,256,20,67,17,1224,169,248,215,1338,48.57,168.8,460.27,19.59,Type_10,Area_4,Type_6
5423,2359,299,14,162,53,1206,180,234,194,1441,88.49,439.42,371.04,52.5,Type_10,Area_4,Type_6
5424,2382,39,24,218,112,778,213,181,92,782,54.67,156.79,693.33,35.63,Type_10,Area_4,Type_6
5425,2373,43,26,212,103,765,214,172,78,752,56.68,326.99,177.39,28.09,Type_10,Area_4,Type_6
5426,2342,0,31,228,72,706,159,166,131,573,64.59,382.91,680.08,55.63,Type_10,Area_4,Type_6
5433,2458,193,16,497,188,987,216,251,164,573,70.61,163.46,941.21,36.45,Type_2,Area_4,Type_6
5434,2470,188,7,497,217,902,221,246,159,589,33.85,318.59,917.82,5.04,Type_2,Area_4,Type_6
5445,2435,306,15,216,59,960,177,230,193,940,34.36,333.12,911.22,47.24,Type_10,Area_4,Type_6
5446,2451,324,8,402,83,1103,199,231,172,865,41.95,322.49,483.41,42.94,Type_6,Area_4,Type_6
5450,2253,55,8,0,0,1348,225,224,133,524,37.54,244.28,485.61,21.48,Type_14,Area_4,Type_6
5451,2267,320,16,85,22,1358,177,223,186,488,47.38,363.63,571.21,10.6,Type_10,Area_4,Type_6
5452,2260,124,19,134,29,1388,248,223,96,495,44.33,198.49,559.09,55.24,Type_2,Area_4,Type_6
5454,2252,352,22,150,59,1295,176,196,154,722,54.67,328.86,725.44,59.43,Type_10,Area_4,Type_6
5455,2254,338,21,175,60,1289,170,206,172,745,72.24,432.71,558.54,29.7,Type_10,Area_4,Type_6
5456,2284,287,21,256,95,1273,156,233,215,816,43.05,332.82,108.82,31.56,Type_10,Area_4,Type_6
5457,2295,287,22,277,121,1269,152,232,218,841,52.0,384.88,779.27,31.9,Type_10,Area_4,Type_6
5458,2327,53,27,60,35,1283,223,170,64,1182,53.46,351.84,1066.33,41.75,Type_10,Area_4,Type_6
5460,2386,30,30,242,116,792,195,160,84,755,87.28,365.52,1179.59,26.08,Type_10,Area_4,Type_6
5461,2366,22,31,240,96,769,185,159,95,696,78.01,397.23,244.37,42.81,Type_10,Area_4,Type_6
5474,2402,262,24,216,134,1295,155,244,223,604,72.09,354.47,883.48,43.21,Type_1,Area_4,Type_6
5475,2452,210,24,300,182,1179,194,254,185,560,30.59,175.69,233.73,27.27,Type_2,Area_4,Type_6
5476,2461,250,11,513,208,920,196,248,190,553,54.55,203.59,333.93,60.61,Type_2,Area_4,Type_6
5486,2405,56,16,0,0,780,229,204,104,1091,89.24,360.5,942.7,49.81,Type_6,Area_4,Type_6
5487,2399,27,10,0,0,792,216,219,138,1075,43.51,154.96,282.27,47.77,Type_16,Area_4,Type_6
5488,2444,314,13,258,68,957,184,229,185,960,69.74,193.85,513.78,44.49,Type_6,Area_4,Type_6
5492,2248,118,15,95,17,1362,244,226,107,532,75.11,300.2,365.47,42.08,Type_2,Area_4,Type_6
5495,2411,348,16,330,105,1124,187,211,161,1266,58.47,269.44,992.31,30.66,Type_10,Area_4,Type_6
5496,2419,13,15,361,149,924,204,208,139,967,50.03,186.1,476.04,44.07,Type_6,Area_4,Type_6
5497,2422,15,21,295,152,860,197,192,126,849,64.76,238.12,991.65,47.27,Type_6,Area_4,Type_6
5498,2403,20,31,272,133,819,183,159,97,760,83.34,443.5,606.02,58.58,Type_10,Area_4,Type_6
5499,2381,7,36,285,111,741,155,146,110,582,64.16,281.21,202.27,55.48,Type_10,Area_4,Type_6
5500,2379,14,34,212,36,642,169,151,101,466,67.9,291.55,1029.4,11.99,Type_10,Area_4,Type_6
5512,2434,326,23,127,3,841,157,207,187,1036,85.66,355.38,566.83,14.5,Type_10,Area_4,Type_6
5513,2445,336,20,175,14,876,172,209,174,1015,82.06,403.35,786.11,6.44,Type_10,Area_4,Type_6
5514,2451,343,18,228,0,914,181,210,165,997,72.46,330.16,1004.17,27.45,Type_10,Area_4,Type_6
5517,2271,343,15,42,12,1290,188,215,165,579,78.48,441.39,953.12,50.23,Type_10,Area_4,Type_6
5518,2290,6,11,170,45,1307,207,219,149,541,76.07,255.34,883.79,5.74,Type_10,Area_4,Type_6
5519,2267,93,16,175,20,1323,243,215,97,543,36.84,410.35,689.23,7.26,Type_2,Area_4,Type_6
5521,2228,358,7,30,0,1316,209,227,156,618,80.06,250.26,542.33,58.35,Type_14,Area_4,Type_6
5522,2266,303,17,162,58,1253,169,229,199,722,64.64,255.29,570.78,15.14,Type_10,Area_4,Type_6
5523,2350,309,19,335,67,1200,164,224,198,973,68.78,165.48,477.22,64.82,Type_11,Area_4,Type_6
5526,2430,352,16,424,160,984,190,211,158,1031,32.06,401.34,1163.87,49.87,Type_6,Area_4,Type_6
5527,2420,11,29,301,150,834,178,170,117,765,68.34,169.02,954.67,36.13,Type_10,Area_4,Type_6
5528,2373,51,30,150,52,616,218,160,55,418,34.89,239.61,420.96,38.96,Type_3,Area_4,Type_6
5539,2424,311,22,67,2,782,156,219,201,1087,61.69,224.61,934.25,44.86,Type_10,Area_4,Type_6
5540,2462,349,10,268,11,933,202,223,160,1012,58.04,200.43,231.0,57.56,Type_6,Area_4,Type_6
5542,2265,338,13,0,0,1243,190,220,169,631,68.97,311.43,680.9,25.73,Type_14,Area_4,Type_6
5543,2272,328,19,30,10,1254,172,215,181,618,82.08,214.86,1150.59,47.32,Type_14,Area_4,Type_6
5544,2293,345,34,127,40,1266,136,167,157,582,79.69,243.0,130.98,8.04,Type_10,Area_4,Type_6
5545,2236,79,12,30,5,1312,236,217,110,607,67.56,440.0,414.17,32.84,Type_2,Area_4,Type_6
5546,2388,348,16,201,105,1176,188,212,161,1116,34.52,404.6,167.15,61.27,Type_10,Area_4,Type_6
5547,2388,12,16,175,96,1180,202,205,137,1142,36.74,413.98,1065.91,21.45,Type_10,Area_4,Type_6
5548,2359,53,31,108,53,1194,219,156,49,1221,32.96,288.0,749.23,8.0,Type_10,Area_4,Type_6
5550,2326,273,22,90,20,1265,155,240,221,1438,38.14,263.03,235.92,26.31,Type_10,Area_4,Type_6
5551,2437,357,16,446,167,997,192,209,152,1036,45.6,173.31,632.83,27.78,Type_6,Area_4,Type_6
5552,2434,11,14,408,164,955,204,210,141,977,53.1,270.32,532.56,39.95,Type_6,Area_4,Type_6
5553,2435,344,16,391,165,933,187,214,165,947,86.58,328.19,440.48,42.3,Type_6,Area_4,Type_6
5554,2440,351,16,362,170,891,189,211,158,888,66.62,236.14,947.13,31.24,Type_6,Area_4,Type_6
5555,2413,14,21,201,70,661,195,191,127,513,80.1,404.39,158.02,35.45,Type_10,Area_4,Type_6
5560,2287,247,29,42,19,1485,147,246,227,658,68.35,161.9,403.53,26.6,Type_1,Area_4,Type_6
5561,2304,232,30,67,36,1455,157,250,216,636,50.46,231.76,756.56,57.99,Type_1,Area_4,Type_6
5562,2424,271,16,371,154,1041,175,243,207,451,89.86,270.22,246.96,30.41,Type_1,Area_4,Type_6
5568,2421,357,13,0,0,711,199,216,154,1154,73.52,244.85,717.82,47.02,Type_10,Area_4,Type_6
5572,2307,350,29,124,48,1233,155,179,153,618,33.92,434.2,219.29,58.15,Type_10,Area_4,Type_6
5573,2245,68,13,42,-1,1277,233,214,112,626,79.31,403.53,695.59,39.49,Type_2,Area_4,Type_6
5576,2233,335,12,30,3,1275,192,223,170,658,37.7,263.47,998.78,46.94,Type_14,Area_4,Type_6
5577,2244,324,20,85,16,1249,166,214,186,685,69.01,234.26,385.63,32.06,Type_10,Area_4,Type_6
5578,2354,313,23,379,71,1142,151,215,200,984,88.95,349.0,1073.44,57.25,Type_10,Area_4,Type_6
5580,2384,269,29,210,78,1266,132,235,235,1396,56.35,338.01,1036.22,40.01,Type_10,Area_4,Type_6
5581,2437,18,23,360,167,732,195,184,118,693,32.4,414.48,613.0,17.67,Type_6,Area_4,Type_6
5582,2434,3,20,306,91,700,190,199,142,636,51.74,248.73,387.32,35.76,Type_10,Area_4,Type_6
5588,2307,209,37,60,39,1392,168,244,185,573,58.14,284.55,462.54,30.46,Type_1,Area_4,Type_6
5589,2350,221,35,108,80,1302,156,246,205,516,85.71,309.32,348.96,12.86,Type_1,Area_4,Type_6
5598,2431,327,15,0,0,716,183,223,178,1155,70.95,271.48,208.92,28.63,Type_16,Area_4,Type_6
5599,2473,24,6,162,22,828,217,227,147,1092,69.73,391.39,915.75,47.03,Type_10,Area_4,Type_6
5603,2305,310,24,268,94,1150,147,215,204,830,37.52,437.29,761.26,44.14,Type_10,Area_4,Type_6
5604,2322,348,25,319,125,1130,164,190,157,891,69.33,212.84,119.35,5.42,Type_10,Area_4,Type_6
5605,2341,312,24,384,147,1116,148,214,203,957,32.39,161.48,646.42,42.99,Type_10,Area_4,Type_6
5606,2387,325,19,309,109,1110,169,216,185,1074,65.86,411.73,760.67,32.86,Type_10,Area_4,Type_6
5607,2385,89,21,170,80,1130,246,202,75,1224,82.18,375.66,903.1,34.47,Type_6,Area_4,Type_6
5609,2370,275,24,180,64,1248,147,237,225,1430,56.94,445.42,378.7,49.56,Type_10,Area_4,Type_6
5616,2275,204,28,30,7,1418,193,251,177,573,80.33,310.11,1066.12,52.52,Type_1,Area_4,Type_6
5621,2432,350,14,42,3,631,193,215,160,1235,36.11,410.23,276.99,61.17,Type_16,Area_4,Type_6
5624,2322,47,18,201,63,1180,223,199,104,666,75.6,437.05,954.41,30.88,Type_10,Area_4,Type_6
5625,2287,99,19,124,40,1203,248,210,82,663,32.93,343.21,791.18,11.25,Type_2,Area_4,Type_6
5627,2320,88,20,30,5,1138,245,204,80,1370,56.28,243.53,913.53,51.49,Type_10,Area_4,Type_6
5629,2386,288,25,210,80,1235,142,228,222,1406,62.79,270.99,1002.24,58.17,Type_10,Area_4,Type_6
5630,2432,308,19,330,126,1132,166,225,198,1289,35.48,291.24,971.52,5.87,Type_6,Area_4,Type_6
5638,2355,205,24,180,85,1206,198,253,179,417,80.42,423.42,1194.19,42.0,Type_1,Area_4,Type_6
5639,2393,251,22,300,123,1087,165,249,218,371,31.05,402.79,755.95,34.39,Type_10,Area_4,Type_6
5640,2413,229,18,360,143,1027,190,254,197,361,32.94,326.04,1118.65,22.69,Type_10,Area_4,Type_6
5653,2405,300,26,240,99,1195,140,219,216,1383,42.35,334.89,1179.14,8.2,Type_10,Area_4,Type_6
5654,2439,313,20,330,133,1116,163,221,196,1295,51.15,184.67,135.28,56.91,Type_6,Area_4,Type_6
5655,2453,309,10,450,147,1015,192,233,182,1179,37.57,402.79,658.43,60.79,Type_6,Area_4,Type_6
5664,2328,238,26,120,58,1263,165,251,215,426,64.73,376.38,90.98,52.66,Type_1,Area_4,Type_6
5673,2446,344,17,30,5,552,184,212,165,1317,68.43,334.75,784.98,61.08,Type_16,Area_4,Type_6
5674,2459,3,22,60,22,624,184,192,140,1249,48.85,244.56,1003.13,43.23,Type_10,Area_4,Type_6
5677,2336,292,27,120,64,1110,136,223,223,750,64.79,430.17,218.19,8.83,Type_10,Area_4,Type_6
5678,2344,45,17,210,79,1116,222,201,107,730,39.99,260.33,259.64,6.8,Type_10,Area_4,Type_6
5681,2354,300,26,90,39,1127,138,218,216,1504,44.12,307.56,314.27,41.91,Type_10,Area_4,Type_6
5682,2414,298,24,240,108,1181,145,223,215,1390,59.66,417.12,350.49,22.88,Type_10,Area_4,Type_6
5694,2459,275,13,474,100,872,183,243,199,323,65.62,259.71,702.98,41.6,Type_2,Area_4,Type_6
5702,2312,97,26,210,65,1100,251,194,55,751,51.27,166.19,221.58,19.76,Type_2,Area_4,Type_6
5704,2267,307,21,85,19,1142,159,223,202,797,45.14,303.41,355.04,58.02,Type_10,Area_4,Type_6
5705,2292,305,26,134,45,1114,138,215,213,819,84.92,335.68,725.44,19.66,Type_10,Area_4,Type_6
5706,2310,331,20,190,77,1087,167,210,180,845,45.94,240.78,281.43,18.49,Type_10,Area_4,Type_6
5714,2406,288,23,361,136,1020,151,231,217,272,86.74,360.41,954.02,14.27,Type_10,Area_4,Type_6
5715,2431,269,21,421,161,960,162,242,218,272,70.61,212.61,1045.3,24.42,Type_10,Area_4,Type_6
5723,2478,34,14,30,11,595,217,208,123,1292,77.73,239.04,259.65,34.62,Type_10,Area_4,Type_6
5726,2307,88,23,210,60,1071,247,195,64,781,68.61,432.16,125.32,53.36,Type_2,Area_4,Type_6
5727,2295,65,19,180,48,1077,234,199,89,780,41.83,393.34,1035.92,43.79,Type_2,Area_4,Type_6
5729,2318,324,19,201,80,1060,170,217,185,872,40.01,309.79,1076.59,22.04,Type_10,Area_4,Type_6
5730,2402,331,22,474,191,972,163,207,180,1041,85.42,217.29,1103.46,44.94,Type_10,Area_4,Type_6
5731,2408,335,25,450,82,967,156,198,176,1062,79.29,227.9,107.03,32.36,Type_10,Area_4,Type_6
5732,2421,38,17,300,95,960,218,202,114,1168,51.24,333.29,1175.35,29.26,Type_6,Area_4,Type_6
5741,2300,338,26,42,19,1440,155,194,172,510,83.46,233.43,678.11,44.4,Type_10,Area_4,Type_6
5742,2312,338,32,60,37,1380,135,178,171,458,64.17,284.05,673.26,33.18,Type_10,Area_4,Type_6
5744,2489,353,14,85,-3,534,196,215,157,1343,89.5,437.8,469.25,22.74,Type_10,Area_4,Type_6
5745,2488,24,13,60,21,553,212,212,134,1332,39.82,202.59,935.67,7.91,Type_10,Area_4,Type_6
5749,2310,0,18,30,2,987,190,203,147,886,89.14,411.52,613.16,31.86,Type_14,Area_4,Type_6
5750,2358,72,12,201,81,1024,233,217,114,824,71.2,303.29,554.43,24.15,Type_10,Area_4,Type_6
5752,2340,322,21,268,107,1008,163,214,189,927,77.91,319.01,1091.86,32.7,Type_10,Area_4,Type_6
5753,2355,317,22,323,124,987,157,215,196,957,36.42,170.83,1191.58,20.33,Type_10,Area_4,Type_6
5754,2420,326,24,450,62,938,155,206,187,1084,76.84,328.75,701.46,10.28,Type_10,Area_4,Type_6
5755,2385,293,20,150,66,1061,159,231,210,1529,84.61,154.08,472.13,13.25,Type_10,Area_4,Type_6
5763,2380,283,23,285,110,1110,151,234,220,242,86.45,378.49,94.9,46.2,Type_10,Area_4,Type_6
5764,2478,264,7,366,91,810,202,244,181,277,40.49,300.42,441.95,47.47,Type_2,Area_4,Type_6
5766,2489,333,18,124,39,458,176,214,176,1409,74.25,162.07,685.45,28.91,Type_10,Area_4,Type_6
5769,2340,57,23,268,68,1001,229,185,78,845,46.08,415.27,581.32,8.75,Type_10,Area_4,Type_6
5770,2316,19,28,120,66,1024,188,170,107,842,84.73,270.26,488.47,25.04,Type_10,Area_4,Type_6
5772,2311,326,26,120,61,1050,146,201,189,892,73.26,351.5,814.6,36.92,Type_10,Area_4,Type_6
5773,2340,317,21,240,93,993,161,217,194,939,45.43,202.78,497.55,31.2,Type_10,Area_4,Type_6
5774,2369,314,20,360,138,949,161,219,196,999,73.16,425.41,950.24,20.94,Type_10,Area_4,Type_6
5775,2389,304,23,417,161,931,150,221,209,1032,31.69,223.66,1093.43,20.02,Type_10,Area_4,Type_6
5777,2345,298,16,30,15,969,173,232,199,1465,67.61,394.25,1161.14,54.75,Type_10,Area_4,Type_6
5786,2286,304,23,0,0,1560,151,221,208,598,84.57,430.67,554.66,42.23,Type_17,Area_4,Type_6
5787,2330,296,24,108,50,1410,145,225,216,457,46.18,385.39,1159.07,5.78,Type_10,Area_4,Type_6
5788,2395,288,22,323,125,1080,154,232,216,201,79.18,345.85,737.65,44.33,Type_10,Area_4,Type_6
5789,2479,294,9,342,92,810,194,238,184,255,89.96,280.09,243.62,47.58,Type_2,Area_4,Type_6
5794,2498,345,13,120,5,450,195,220,163,1423,84.95,155.01,1125.72,11.93,Type_10,Area_4,Type_6
5797,2377,349,21,175,87,960,177,200,158,895,38.14,356.9,661.74,48.67,Type_10,Area_4,Type_6
5798,2324,332,26,120,70,1024,151,197,181,920,88.65,365.92,451.23,25.57,Type_10,Area_4,Type_6
5799,2330,333,24,150,80,1008,157,201,179,930,87.86,317.43,403.73,60.15,Type_10,Area_4,Type_6
5800,2374,330,22,330,141,930,163,208,182,1008,39.82,217.01,1120.92,35.16,Type_10,Area_4,Type_6
5801,2378,326,23,360,148,920,157,207,187,1024,47.97,432.66,1102.24,45.74,Type_10,Area_4,Type_6
5802,2447,318,20,408,89,875,162,217,193,1149,36.01,359.0,659.58,62.13,Type_10,Area_4,Type_6
5804,2396,294,23,153,52,1008,148,226,216,1546,78.96,246.7,203.6,43.69,Type_10,Area_4,Type_6
5813,2319,269,19,67,8,1440,168,243,213,474,79.25,340.15,892.85,37.26,Type_10,Area_4,Type_6
5814,2357,30,21,175,82,1290,208,189,109,335,46.89,365.18,494.12,62.79,Type_10,Area_4,Type_6
5815,2348,21,22,192,73,1260,199,186,116,309,34.2,155.71,640.82,6.67,Type_10,Area_4,Type_6
5816,2427,281,17,391,5,990,172,239,206,150,33.4,181.53,899.89,59.75,Type_10,Area_4,Type_6
5819,2480,333,16,42,4,351,182,218,175,1518,85.73,172.6,693.47,27.65,Type_10,Area_4,Type_6
5821,2358,345,32,85,35,892,143,173,158,981,80.58,394.6,791.52,29.22,Type_10,Area_4,Type_6
5822,2361,350,35,95,45,902,137,160,146,969,56.75,375.79,803.26,61.86,Type_10,Area_4,Type_6
5823,2370,343,33,127,59,926,137,171,161,949,72.52,395.11,960.93,36.28,Type_10,Area_4,Type_6
5824,2386,7,16,192,90,930,199,207,143,924,73.91,349.76,217.9,9.84,Type_10,Area_4,Type_6
5825,2381,38,16,216,91,932,218,203,115,918,40.44,370.6,670.4,21.44,Type_10,Area_4,Type_6
5826,2375,40,18,242,86,934,218,198,108,912,51.67,231.53,1154.97,32.72,Type_10,Area_4,Type_6
5827,2360,35,24,258,-13,942,208,178,94,904,68.24,447.9,491.44,62.21,Type_10,Area_4,Type_6
5829,2456,325,19,400,98,845,169,216,185,1172,51.69,214.35,757.34,46.76,Type_10,Area_4,Type_6
5830,2373,80,21,60,36,882,242,198,76,1429,62.09,236.68,335.44,10.31,Type_5,Area_4,Type_6
5831,2422,300,11,210,78,1015,188,235,188,1499,89.77,442.6,707.1,57.64,Type_10,Area_4,Type_6
5846,2339,258,23,95,22,1380,160,246,221,408,44.19,251.04,752.36,16.08,Type_10,Area_4,Type_6
5847,2362,23,23,212,20,1260,200,185,113,295,42.69,364.79,324.61,37.04,Type_10,Area_4,Type_6
5854,2350,337,23,42,15,837,163,201,173,1047,81.83,422.9,171.35,44.64,Type_10,Area_4,Type_6
5856,2448,312,23,430,14,824,151,216,202,1158,75.74,261.48,1150.79,42.56,Type_10,Area_4,Type_6
5857,2383,89,20,85,25,845,245,205,80,1425,38.63,180.64,423.23,41.09,Type_6,Area_4,Type_6
5869,2368,23,22,216,26,1230,202,188,115,256,78.79,350.76,279.19,24.35,Type_10,Area_4,Type_6
5870,2387,279,20,297,9,1110,160,238,216,150,65.31,297.86,927.04,19.5,Type_10,Area_4,Type_6
5871,2442,301,21,324,-7,960,158,226,206,95,42.65,359.34,551.34,44.85,Type_10,Area_4,Type_6
5872,2477,316,14,277,77,840,183,228,184,175,44.2,160.23,1104.24,43.31,Type_2,Area_4,Type_6
5876,2369,329,28,85,34,816,143,195,185,1060,45.5,195.29,900.76,50.1,Type_10,Area_4,Type_6
5877,2350,242,18,150,79,932,181,252,205,1015,82.02,397.07,851.5,15.88,Type_10,Area_4,Type_6
5883,2326,293,13,30,9,1440,184,237,193,454,51.52,386.69,1185.79,23.4,Type_10,Area_4,Type_6
5884,2354,284,25,108,27,1350,142,230,224,365,89.74,172.05,918.33,25.33,Type_10,Area_4,Type_6
5885,2477,305,18,256,55,870,169,228,198,134,58.81,207.48,550.41,51.17,Type_2,Area_4,Type_6
5889,2493,352,14,60,10,242,194,214,158,1641,78.05,162.93,847.52,17.29,Type_5,Area_4,Type_6
5890,2498,335,18,60,15,247,178,213,174,1626,57.07,196.97,287.55,53.29,Type_10,Area_4,Type_6
5893,2406,18,20,255,1,842,199,193,124,1006,59.54,397.67,430.07,31.64,Type_10,Area_4,Type_6
5894,2381,39,22,170,7,859,215,187,98,992,41.54,171.58,1076.61,27.24,Type_10,Area_4,Type_6
5895,2351,64,25,85,12,878,233,180,64,994,57.84,208.92,137.61,47.12,Type_10,Area_4,Type_6
5897,2399,316,27,270,149,845,138,206,202,1087,84.89,338.02,1128.47,7.39,Type_10,Area_4,Type_6
5898,2477,319,5,361,43,755,206,235,168,1242,50.12,355.55,1039.48,25.1,Type_6,Area_4,Type_6
5899,2444,73,21,240,86,752,239,194,75,1338,87.14,187.26,485.24,48.77,Type_6,Area_4,Type_6
5900,2431,72,20,210,73,755,238,196,80,1358,61.98,433.14,292.99,11.99,Type_6,Area_4,Type_6
5901,2358,67,15,0,0,808,234,208,102,1510,67.89,252.31,323.7,43.13,Type_5,Area_4,Type_6
5903,2388,51,19,433,121,499,225,195,96,937,37.76,307.26,752.42,44.1,Type_3,Area_4,Type_6
5904,2293,87,20,255,58,319,245,202,78,768,52.55,216.83,126.42,32.42,Type_3,Area_4,Type_6
5907,2288,299,7,30,0,1390,200,237,177,781,56.81,268.82,583.21,18.18,Type_17,Area_4,Type_6
5908,2294,287,13,60,3,1419,182,239,197,751,76.68,326.58,277.78,14.88,Type_10,Area_4,Type_6
5909,2325,281,12,30,5,1440,185,241,195,451,43.23,227.35,1149.89,33.1,Type_17,Area_4,Type_6
5910,2373,294,23,108,31,1320,151,228,214,331,39.87,356.96,385.57,62.28,Type_10,Area_4,Type_6
5911,2390,327,15,162,31,1260,183,223,178,272,54.38,242.71,976.26,44.49,Type_10,Area_4,Type_6
5917,2498,3,10,30,0,426,206,220,152,1518,89.07,302.49,339.69,46.94,Type_6,Area_4,Type_6
5918,2370,332,20,42,11,730,170,211,178,1168,69.98,211.11,662.67,62.54,Type_10,Area_4,Type_6
5919,2411,37,22,192,23,819,213,186,99,1027,47.12,378.96,624.7,44.06,Type_10,Area_4,Type_6
5920,2424,82,18,180,66,730,242,206,87,1401,65.15,222.41,321.68,51.51,Type_6,Area_4,Type_6
5921,2362,55,13,0,0,780,228,211,113,1530,36.57,362.09,1186.89,58.44,Type_5,Area_4,Type_6
5923,2421,137,9,573,115,787,235,237,133,1224,40.49,445.87,1075.21,38.76,Type_6,Area_4,Type_6
